app_id,name,img_icon,playtime(hrs),last_played
1869590,Omega Strikers,5e07146c770962edaf303e907447d63538d67948,1.5,28064398.5,159
1887240,World War 3 Playtest,091387afc53c2f1a7488950dd5cd15c7c7745f0a,1.8,27450923.1,159
1898290,LEGO® Bricktales,29cb341d378ebb9220bfafaa46811e2c5371af9c,0.1,29067765.5,159
1930870,Divine Knockout Playtest,392e291695f20d7845064f5acde84a97b38b9350,0.8,27825379.4,159
1943950,Escape the Backrooms,2bd4431dd3b71ea7fd11cbcef9594f0d09e4079d,1.6,27982423.8,159
1966720,Lethal Company,8393f321a62a9ef0be762c81565d2caea4fb7da6,3.5,28349565.3,159
1979310,VEILED EXPERTS FINAL BETA,fb73128c3fde609ce133fc9ba913fb5cb31e58ee,0.0,27599204.0,159
1992370,FURRY HITLER,2f74b37a3a603c269ff51825a3206be7de0aa222,0.2,27571626.3,159
2067920,Rogue: Genesia,3902c16718546348eae5db5838e1123189641198,0.8,28323432.5,159
2073850,THE FINALS,9532db560dca3b4982f4af3f5981b6b2ce2a6909,4.8,28383741.6,159
2074930,The First Descendant Final Technical Test,9b0ffb5b481f0c76b78919b2dc336a15e12828bb,0.8,27772071.5,159
2076040,THE FINALS PLAYTEST,5c445c6a035d0e462068ec4d164e2224a2e7cc94,0.0,0.0,159
2078890,Dark and Darker Playtest,9dfa7ea1b799b795ab5795e8251b17e35ef2b8d8,1.6,27864351.7,159
2114740,Blasphemous 2,4e6e9d55da3e45a19088852530126c02ac0b1d53,0.0,0.0,159
2138710,Sifu,3930eb06cc31a6c91ab243afd4c45f49c9d0c5c1,1.1,28667215.2,159
2183900,"Warhammer 40,000: Space Marine 2",0fccfb5eb2acb934db1fe95a4e578f25ccbd71ec,3.2,28769900.3,159
2215430,Ghost of Tsushima DIRECTOR'S CUT,e87b8cbe31f7bc5f40ee6ed94ccfa18f59f04fbc,2.1,28675859.8,159
2221490,Tom Clancy's The Division 2,415d18aa79e74e33b58406d721110e6ef836fb14,43.6,28727782.2,159
2231380,Ghost Recon Breakpoint,c3672938f6f5bd6b7825a1a3e434c27971a481a5,1.1,28366626.6,159
2296990,We Were Here Expeditions: The FriendShip,66b945c2e9201fb7b9aa92f17dbecaa06350fe5a,2.4,28257271.3,159
2357570,Overwatch® 2,da42bd294c941d5947b1bc2c2b2efa1313d36a91,1.9,29073524.9,159
2358720,Black Myth: Wukong,764ad8ff458f7020d63a3f7f0abf6ad8882c05df,34.6,28755415.9,159
2379780,Balatro,b6018068070ab0e23561694c11f7950dd6f4c752,0.7,29318056.4,159
2420110,Horizon Forbidden West™ Complete Edition,b06de101e39474f3c763a9b9aac8df876d4e482e,0.0,0.0,159
2427520,ARC Raiders Playtest,876026528ffe8294549106927423488e0ee120bc,0.0,0.0,159
2437170,SMITE 2,c2ac34cde358fca6c0a560943a8ab5ea47a65493,21.7,29262465.9,159
2452280,Mecha BREAK,9f7f1b2fce4b229fdd7c67aa78d825d4f3f42cb7,2.9,29191708.7,159
2622380,ELDEN RING NIGHTREIGN,c59f3732d379c9667450b174353d69d5bcea95a5,11.9,29150049.5,159
2666510,Rusty's Retirement,72be5b22943d8874a18c9de214f1d5fa82d98310,0.0,0.0,159
2680010,The First Berserker: Khazan,6b814f92e25cec848c9729ce26c8f39afcc6e5f7,4.2,29265055.1,159
2699000,Gigantic: Rampage Edition Playtest,db5027eb02ea77cf19500d9be88b3310fc4dfd13,0.0,0.0,159
2751000,Prince of Persia The Lost Crown,55866fc7554d41de949ab4dc00e4494b270d7631,0.3,28727968.8,159
2767030,Marvel Rivals,839b4712925b95702ca56e0c4d399adf54f4d617,254.8,29144274.9,159
2781320,SMITE 2 - Public Test,c2ac34cde358fca6c0a560943a8ab5ea47a65493,4.3,28726370.6,159
2881650,Content Warning,513cf7f2e22c94f4372369e29bffccc4c239e9c0,0.0,0.0,159
2936120,Marvel Rivals Playtest,839b4712925b95702ca56e0c4d399adf54f4d617,0.8,28706522.7,159
3065170,Monster Hunter Wilds Beta test,cb8345c0f9742dad3764d058c9da49c8860d15f9,1.8,28841544.5,159
3081410,Battlefield™ 6 Open Beta,575dad25afc50972728d2b85cccb4f6093ebe175,0.2,29254445.6,159
3404800,Chrono Odyssey Playtest,28b63d6b0bd5a4e30944cbea0420a4f1a69cf7b8,2.6,29173970.6,159
